07/11 15:10:13.861 | 15:10:13.245 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 40 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:13.971 | 15:10:13.355 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.641
07/11 15:10:13.971 | 15:10:13.355 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 38 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:13.971 | 15:10:13.355 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 39 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.078 | 15:10:13.462 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 38 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.078 | 15:10:13.462 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=107.814
07/11 15:10:14.078 | 15:10:13.462 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 37 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.185 | 15:10:13.569 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=106.815
07/11 15:10:14.185 | 15:10:13.569 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 36 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.185 | 15:10:13.569 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 37 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.295 | 15:10:13.679 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 36 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.295 | 15:10:13.679 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.782
07/11 15:10:14.295 | 15:10:13.679 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 35 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.404 | 15:10:13.788 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.177
07/11 15:10:14.404 | 15:10:13.788 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 34 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.404 | 15:10:13.788 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 35 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.512 | 15:10:13.896 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=107.640
07/11 15:10:14.512 | 15:10:13.896 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 33 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.512 | 15:10:13.896 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 34 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.623 | 15:10:14.007 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 33 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.623 | 15:10:14.007 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.511
07/11 15:10:14.623 | 15:10:14.007 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 32 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.731 | 15:10:14.115 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.566
07/11 15:10:14.731 | 15:10:14.115 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 31 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.731 | 15:10:14.115 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 32 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.841 | 15:10:14.225 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.168
07/11 15:10:14.841 | 15:10:14.225 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 30 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.841 | 15:10:14.225 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 31 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:14.948 | 15:10:14.332 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=106.239
07/11 15:10:14.948 | 15:10:14.332 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 29 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:14.948 | 15:10:14.332 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 30 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.055 | 15:10:14.439 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=107.395
07/11 15:10:15.055 | 15:10:14.439 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 28 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.055 | 15:10:14.439 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 29 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.164 | 15:10:14.548 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.162
07/11 15:10:15.164 | 15:10:14.548 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 27 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.164 | 15:10:14.548 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 28 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.274 | 15:10:14.658 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.457
07/11 15:10:15.274 | 15:10:14.658 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 26 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.274 | 15:10:14.658 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 27 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.382 | 15:10:14.766 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.067
07/11 15:10:15.382 | 15:10:14.766 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 25 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.382 | 15:10:14.766 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 26 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.489 | 15:10:14.873 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=107.081
07/11 15:10:15.489 | 15:10:14.873 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 24 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.489 | 15:10:14.873 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 25 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.599 | 15:10:14.983 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.474
07/11 15:10:15.599 | 15:10:14.983 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 23 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.600 | 15:10:14.984 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 24 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.708 | 15:10:15.092 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.699
07/11 15:10:15.708 | 15:10:15.092 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 22 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.708 | 15:10:15.092 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 23 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.818 | 15:10:15.202 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.629
07/11 15:10:15.818 | 15:10:15.202 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 21 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.818 | 15:10:15.202 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 22 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:15.927 | 15:10:15.311 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.956
